Epoch,Time(s),Loss,F1
00076,0.6446,0.3421,0.0560
00077,0.6427,0.3416,0.0585
00078,0.6419,0.3413,0.0485
00079,0.6418,0.3411,0.0735
00080,0.6402,0.3410,0.0485
00081,0.6390,0.3408,0.1012
00082,0.6382,0.3404,0.0554
00083,0.6402,0.3400,0.0823
00084,0.6411,0.3396,0.0901
00085,0.6417,0.3393,0.0610
00086,0.6433,0.3392,0.1210
00087,0.6459,0.3390,0.0586
00088,0.6445,0.3390,0.1274
00089,0.6428,0.3388,0.0798
00090,0.6412,0.3387,0.1285
00091,0.6396,0.3383,0.1104
00092,0.6389,0.3380,0.1201
00093,0.6381,0.3377,0.1189
00094,0.6381,0.3374,0.1168
00095,0.6373,0.3372,0.1354
00096,0.6364,0.3371,0.1092
00097,0.6357,0.3374,0.1682
00098,0.6354,0.3388,0.0297
00099,0.6508,0.3454,0.1628
00100,0.6673,0.3377,0.1439
00101,0.6689,0.3367,0.0400
00102,0.6680,0.3394,0.1313
00103,0.6674,0.3359,0.1616
00104,0.6660,0.3382,0.0381
00105,0.6653,0.3394,0.1067
00106,0.6649,0.3363,0.1911
00107,0.6642,0.3404,0.0866
00108,0.6632,0.3366,0.0435
00109,0.6619,0.3379,0.1520
00110,0.6612,0.3357,0.1606
00111,0.6605,0.3365,0.0796
00112,0.6595,0.3361,0.0964
00113,0.6588,0.3360,0.1576
00114,0.6591,0.3352,0.1584
00115,0.6602,0.3349,0.1066
00116,0.6613,0.3351,0.1253
00117,0.6634,0.3343,0.1719
00118,0.6637,0.3347,0.1545
00119,0.6630,0.3332,0.1255
00120,0.6621,0.3341,0.1454
00121,0.6617,0.3328,0.1752
00122,0.6605,0.3337,0.1374
00123,0.6592,0.3327,0.1355
00124,0.6581,0.3327,0.1720
00125,0.6568,0.3326,0.1541
00126,0.6558,0.3317,0.1358
00127,0.6552,0.3321,0.1645
00128,0.6550,0.3314,0.1662
00129,0.6543,0.3312,0.1385
00130,0.6545,0.3314,0.1649
00131,0.6547,0.3306,0.1660
00132,0.6549,0.3305,0.1408
00133,0.6554,0.3306,0.1680
00134,0.6568,0.3300,0.1653
00135,0.6571,0.3297,0.1467
00136,0.6562,0.3298,0.1725
00137,0.6551,0.3294,0.1627
00138,0.6543,0.3289,0.1600
00139,0.6539,0.3287,0.1768
00140,0.6529,0.3286,0.1533
00141,0.6525,0.3285,0.1758
00142,0.6518,0.3281,0.1647
00143,0.6511,0.3277,0.1718
00144,0.6506,0.3274,0.1739
00145,0.6496,0.3272,0.1636
00146,0.6491,0.3271,0.1880
00147,0.6501,0.3270,0.1479
00148,0.6511,0.3275,0.2257
00149,0.6516,0.3283,0.1275
00150,0.6521,0.3310,0.2391
00151,0.6535,0.3291,0.1399
00152,0.6530,0.3274,0.1680
00153,0.6522,0.3259,0.2082
00154,0.6514,0.3268,0.1433
00155,0.6508,0.3264,0.1774
00156,0.6505,0.3256,0.1940
00157,0.6502,0.3266,0.1657
00158,0.6497,0.3250,0.1688
00159,0.6489,0.3245,0.1915
00160,0.6482,0.3254,0.1773
00161,0.6479,0.3240,0.1559
00162,0.6475,0.3242,0.2060
